test	"1 Failure"	"1 Failure(max)"	"1 Failure(min)"
\#2	45.944998	45.934998	45.940004
\#4	45.819000	45.814000	45.823000
\#8	44.879002	44.878002	44.879882
\#12	45.138998	45.136998	45.140000
\#16	44.842001	44.841998	44.842041
